customer_key,customer_name,age,lifespan_months,total_orders,total_sales,total_quantity,total_products,age_group,customer_segment,last_order,recency,avg_order_value,avg_monthly_spend
1,Jon Yang,54,27,3,8249,8,8,50 and above,VIP,2013-05-03,155,2749.6666666666666667,305.5185185185185185
2,Eugene Huang,49,34,3,6384,11,10,40-49,VIP,2013-12-10,148,2128.0000000000000000,187.7647058823529412
3,Ruben Torres,55,25,3,8114,4,4,50 and above,VIP,2013-02-23,157,2704.6666666666666667,324.5600000000000000
4,Christy Zhu,52,28,3,8139,9,9,50 and above,VIP,2013-05-10,155,2713.0000000000000000,290.6785714285714286
5,Elizabeth Johnson,46,27,3,8196,6,6,40-49,VIP,2013-05-01,155,2732.0000000000000000,303.5555555555555556
6,Julio Ruiz,49,28,3,8121,6,6,40-49,VIP,2013-05-02,155,2707.0000000000000000,290.0357142857142857
7,Janet Alvarez,49,27,3,8119,5,5,40-49,VIP,2013-05-14,154,2706.3333333333333333,300.7037037037037037
8,Marco Mehta,56,26,3,8211,8,8,50 and above,VIP,2013-03-19,156,2737.0000000000000000,315.8076923076923077
9,Rob Verhoff,50,25,3,8106,7,7,50 and above,VIP,2013-03-02,157,2702.0000000000000000,324.2400000000000000
10,Shannon Carlson,56,27,3,8091,5,5,50 and above,VIP,2013-05-09,155,2697.0000000000000000,299.6666666666666667
11,Jacquelyn Suarez,56,28,3,8088,4,4,50 and above,VIP,2013-05-23,154,2696.0000000000000000,288.8571428571428571
12,Curtis Lu,56,26,3,8133,4,4,50 and above,VIP,2013-03-19,156,2711.0000000000000000,312.8076923076923077
13,Lauren Walker,47,6,2,81,5,5,40-49,New,2013-10-15,149,40.5000000000000000,13.5000000000000000
14,Ian Jenkins,46,9,2,114,5,5,40-49,New,2014-01-21,146,57.0000000000000000,12.6666666666666667
15,Sydney Bennett,52,1,2,138,6,5,50 and above,New,2013-04-30,155,69.0000000000000000,138.0000000000000000
16,Chloe Young,41,0,1,2501,3,3,40-49,New,2013-01-18,158,2501.0000000000000000,
